"fare_id","route_id","origin_id","destination_id","contains_id"
"1_1071_1_840_20250315","1_1071_1_20250315","100001_2","100914_1",
"1_1081_1_840_20250315","1_1081_1_20250315","100001_2","100914_1",
"1_1091_1_840_20250315","1_1091_1_20250315","100001_2","100914_1",
"1_1111_1_840_20250315","1_1111_1_20250315","100001_2","100914_1",
"1_2011_1_840_20250315","1_2011_1_20250315","100001_2","100914_1",
"1_2111_1_840_20250315","1_2111_1_20250315","100001_2","100914_1",
"1_2161_1_1680_20250315","1_2161_1_20250315","100001_2","100914_1",
"1_1071_1_900_20250315","1_1071_1_20250315","100001_2","100915_1",
"1_1081_1_900_20250315","1_1081_1_20250315","100001_2","100915_1",
"1_1091_1_900_20250315","1_1091_1_20250315","100001_2","100915_1",
"1_1111_1_900_20250315","1_1111_1_20250315","100001_2","100915_1",
"1_2011_1_900_20250315","1_2011_1_20250315","100001_2","100915_1",
"1_2111_1_900_20250315","1_2111_1_20250315","100001_2","100915_1",
"1_2161_1_1800_20250315","1_2161_1_20250315","100001_2","100915_1",
"1_1071_1_900_20250315","1_1071_1_20250315","100001_2","100916_1",
"1_1081_1_900_20250315","1_1081_1_20250315","100001_2","100916_1",
"1_1091_1_900_20250315","1_1091_1_20250315","100001_2","100916_1",
"1_1111_1_900_20250315","1_1111_1_20250315","100001_2","100916_1",
"1_2011_1_900_20250315","1_2011_1_20250315","100001_2","100916_1",
"1_2111_1_900_20250315","1_2111_1_20250315","100001_2","100916_1",
"1_2161_1_1800_20250315","1_2161_1_20250315","100001_2","100916_1",
"1_1071_1_960_20250315","1_1071_1_20250315","100001_2","100918_1",
"1_1081_1_960_20250315","1_1081_1_20250315","100001_2","100918_1",
"1_1091_1_960_20250315","1_1091_1_20250315","100001_2","100918_1",
"1_1111_1_960_20250315","1_1111_1_20250315","100001_2","100918_1",
"1_2011_1_960_20250315","1_2011_1_20250315","100001_2","100918_1",
"1_2111_1_960_20250315","1_2111_1_20250315","100001_2","100918_1",
"1_2161_1_1920_20250315","1_2161_1_20250315","100001_2","100918_1",
"1_1081_1_990_20250315","1_1081_1_20250315","100001_2","100919_1",
"1_1091_1_990_20250315","1_1091_1_20250315","100001_2","100919_1",
"1_2011_1_990_20250315","1_2011_1_20250315","100001_2","100919_1",
"1_1081_1_990_20250315","1_1081_1_20250315","100001_2","100920_1",
"1_1091_1_990_20250315","1_1091_1_20250315","100001_2","100920_1",
"1_2011_1_990_20250315","1_2011_1_20250315","100001_2","100920_1",
"1_1081_1_990_20250315","1_1081_1_20250315","100001_2","100921_1",
"1_1091_1_990_20250315","1_1091_1_20250315","100001_2","100921_1",
"1_2011_1_990_20250315","1_2011_1_20250315","100001_2","100921_1",
"1_1081_1_990_20250315","1_1081_1_20250315","100001_2","100922_1",
"1_1091_1_990_20250315","1_1091_1_20250315","100001_2","100922_1",
"1_2011_1_990_20250315","1_2011_1_20250315","100001_2","100922_1",
"1_1071_1_290_20250315","1_1071_1_20250315","100001_2","100924_1",
"1_1081_1_290_20250315","1_1081_1_20250315","100001_2","100924_1",
"1_1071_1_290_20250315","1_1071_1_20250315","100001_2","100925_1",
"1_1081_1_290_20250315","1_1081_1_20250315","100001_2","100925_1",
"1_1071_1_320_20250315","1_1071_1_20250315","100001_2","100926_1",
"1_1081_1_320_20250315","1_1081_1_20250315","100001_2","100926_1",
"1_1071_1_350_20250315","1_1071_1_20250315","100001_2","100927_1",
"1_1081_1_350_20250315","1_1081_1_20250315","100001_2","100927_1",
"1_1071_1_390_20250315","1_1071_1_20250315","100001_2","100928_1",
"1_1081_1_390_20250315","1_1081_1_20250315","100001_2","100928_1",
